brianium/paratest                   7.19.2  Parallel testing for PHP
brick/math                          0.14.8  Arbitrary-precision arithmetic library
carbonphp/carbon-doctrine-types     3.2.0   Types to use Carbon in Doctrine
dflydev/dot-access-data             3.0.3   Given a deep data structure, access data by dot notation.
doctrine/deprecations               1.1.6   A small layer on top of trigger_error(E_USER_DEPRECATED) or PSR-3 logging wi...
doctrine/inflector                  2.1.0   PHP Doctrine Inflector is a small library that can perform string manipulati...
doctrine/lexer                      3.0.1   PHP Doctrine Lexer parser library that can be used in Top-Down, Recursive De...
dragonmantank/cron-expression       3.6.0   CRON for PHP: Calculate the next or previous run date and determine if a CRO...
egulias/email-validator             4.0.4   A library for validating emails against several RFCs
fakerphp/faker                      1.24.1  Faker is a PHP library that generates fake data for you.
fidry/cpu-core-counter              1.3.0   Tiny utility to get the number of CPU cores.
filp/whoops                         2.18.4  php error handling for cool kids
fruitcake/php-cors                  1.4.0   Cross-origin resource sharing library for the Symfony HttpFoundation
graham-campbell/result-type         1.1.4   An Implementation Of The Result Type
guzzlehttp/guzzle                   7.10.0  Guzzle is a PHP HTTP client library
guzzlehttp/promises                 2.3.0   Guzzle promises library
guzzlehttp/psr7                     2.9.0   PSR-7 message implementation that also provides common utility methods
guzzlehttp/uri-template             1.0.5   A polyfill class for uri_template of PHP
hamcrest/hamcrest-php               2.1.1   This is the PHP port of Hamcrest Matchers
jean85/pretty-package-versions      2.1.1   A library to get pretty versions strings of installed dependencies
laravel/breeze                      2.4.1   Minimal Laravel authentication scaffolding with Blade and Tailwind.
laravel/framework                   13.2.0  The Laravel Framework.
laravel/pail                        1.2.6   Easily delve into your Laravel application's log files directly from the com...
laravel/pint                        1.29.0  An opinionated code formatter for PHP.
laravel/prompts                     0.3.16  Add beautiful and user-friendly forms to your command-line applications.
laravel/serializable-closure        2.0.10  Laravel Serializable Closure provides an easy and secure way to serialize cl...
laravel/tinker                      3.0.0   Powerful REPL for the Laravel framework.
league/commonmark                   2.8.2   Highly-extensible PHP Markdown parser which fully supports the CommonMark sp...
league/config                       1.2.0   Define configuration arrays with strict schemas and access values with dot n...
league/flysystem                    3.33.0  File storage abstraction for PHP
league/flysystem-local              3.31.0  Local filesystem adapter for Flysystem.
league/mime-type-detection          1.16.0  Mime-type detection for Flysystem
league/uri                          7.8.1   URI manipulation library
league/uri-interfaces               7.8.1   Common tools for parsing and resolving RFC3987/RFC3986 URI
livewire/livewire                   4.2.4   A front-end framework for Laravel.
mockery/mockery                     1.6.12  Mockery is a simple yet flexible PHP mock object framework
monolog/monolog                     3.10.0  Sends your logs to files, sockets, inboxes, databases and various web services
myclabs/deep-copy                   1.13.4  Create deep copies (clones) of your objects
nesbot/carbon                       3.11.3  An API extension for DateTime that supports 281 different languages.
nette/schema                        1.3.5   📐 Nette Schema: validating data structures against a given Schema.
nette/utils                         4.1.3   🛠  Nette Utils: lightweight utilities for string & array manipulation, image...
nikic/php-parser                    5.7.0   A PHP parser written in PHP
nunomaduro/collision                8.9.1   Cli error handling for console/command-line PHP applications.
nunomaduro/termwind                 2.4.0   It's like Tailwind CSS, but for the console.
pestphp/pest                        4.4.3   The elegant PHP Testing Framework.
pestphp/pest-plugin                 4.0.0   The Pest plugin manager
pestphp/pest-plugin-arch            4.0.0   The Arch plugin for Pest PHP.
pestphp/pest-plugin-laravel         4.1.0   The Pest Laravel Plugin
pestphp/pest-plugin-mutate          4.0.1   Mutates your code to find untested cases
pestphp/pest-plugin-profanity       4.2.1   The Pest Profanity Plugin
phar-io/manifest                    2.0.4   Component for reading phar.io manifest information from a PHP Archive (PHAR)
phar-io/version                     3.2.1   Library for handling version information and constraints
phpdocumentor/reflection-common     2.2.0   Common reflection classes used by phpdocumentor to reflect the code structure
phpdocumentor/reflection-docblock   6.0.3   With this component, a library can provide support for annotations via DocBl...
phpdocumentor/type-resolver         2.0.0   A PSR-5 based resolver of Class names, Types and Structural Element Names
phpoption/phpoption                 1.9.5   Option Type for PHP
phpstan/phpdoc-parser               2.3.2   PHPDoc parser with support for nullable, intersection and generic types
phpunit/php-code-coverage           12.5.3  Library that provides collection, processing, and rendering functionality fo...
phpunit/php-file-iterator           6.0.1   FilterIterator implementation that filters files based on a list of suffixes.
phpunit/php-invoker                 6.0.0   Invoke callables with a timeout
phpunit/php-text-template           5.0.0   Simple template engine.
phpunit/php-timer                   8.0.0   Utility class for timing
phpunit/phpunit                     12.5.14 The PHP Unit Testing framework.
psr/clock                           1.0.0   Common interface for reading the clock.
psr/container                       2.0.2   Common Container Interface (PHP FIG PSR-11)
psr/event-dispatcher                1.0.0   Standard interfaces for event handling.
psr/http-client                     1.0.3   Common interface for HTTP clients
psr/http-factory                    1.1.0   PSR-17: Common interfaces for PSR-7 HTTP message factories
psr/http-message                    2.0     Common interface for HTTP messages
psr/log                             3.0.2   Common interface for logging libraries
psr/simple-cache                    3.0.0   Common interfaces for simple caching
psy/psysh                           0.12.22 An interactive shell for modern PHP.
ralouphie/getallheaders             3.0.3   A polyfill for getallheaders.
ramsey/collection                   2.1.1   A PHP library for representing and manipulating collections.
ramsey/uuid                         4.9.2   A PHP library for generating and working with universally unique identifiers...
sebastian/cli-parser                4.2.0   Library for parsing CLI options
sebastian/comparator                7.1.4   Provides the functionality to compare PHP values for equality
sebastian/complexity                5.0.0   Library for calculating the complexity of PHP code units
sebastian/diff                      7.0.0   Diff implementation
sebastian/environment               8.0.4   Provides functionality to handle HHVM/PHP environments
sebastian/exporter                  7.0.2   Provides the functionality to export PHP variables for visualization
sebastian/global-state              8.0.2   Snapshotting of global state
sebastian/lines-of-code             4.0.0   Library for counting the lines of code in PHP source code
sebastian/object-enumerator         7.0.0   Traverses array structures and object graphs to enumerate all referenced obj...
sebastian/object-reflector          5.0.0   Allows reflection of object attributes, including inherited and non-public ones
sebastian/recursion-context         7.0.1   Provides functionality to recursively process PHP variables
sebastian/type                      6.0.3   Collection of value objects that represent the types of the PHP type system
sebastian/version                   6.0.0   Library that helps with managing the version number of Git-hosted PHP projects
staabm/side-effects-detector        1.0.5   A static analysis tool to detect side effects in PHP code
symfony/clock                       8.0.0   Decouples applications from the system clock
symfony/console                     8.0.7   Eases the creation of beautiful and testable command line interfaces
symfony/css-selector                8.0.6   Converts CSS selectors to XPath expressions
symfony/deprecation-contracts       3.6.0   A generic function and convention to trigger deprecation notices
symfony/error-handler               8.0.4   Provides tools to manage errors and ease debugging PHP code
symfony/event-dispatcher            8.0.4   Provides tools that allow your application components to communicate with ea...
symfony/event-dispatcher-contracts  3.6.0   Generic abstractions related to dispatching event
symfony/finder                      8.0.6   Finds files and directories via an intuitive fluent interface
symfony/http-foundation             8.0.7   Defines an object-oriented layer for the HTTP specification
symfony/http-kernel                 8.0.7   Provides a structured process for converting a Request into a Response
symfony/mailer                      8.0.6   Helps sending emails
symfony/mime                        8.0.7   Allows manipulating MIME messages
symfony/polyfill-ctype              1.33.0  Symfony polyfill for ctype functions
symfony/polyfill-intl-grapheme      1.33.0  Symfony polyfill for intl's grapheme_* functions
symfony/polyfill-intl-idn           1.33.0  Symfony polyfill for intl's idn_to_ascii and idn_to_utf8 functions
symfony/polyfill-intl-normalizer    1.33.0  Symfony polyfill for intl's Normalizer class and related functions
symfony/polyfill-mbstring           1.33.0  Symfony polyfill for the Mbstring extension
symfony/polyfill-php80              1.33.0  Symfony polyfill backporting some PHP 8.0+ features to lower PHP versions
symfony/polyfill-php84              1.33.0  Symfony polyfill backporting some PHP 8.4+ features to lower PHP versions
symfony/polyfill-php85              1.33.0  Symfony polyfill backporting some PHP 8.5+ features to lower PHP versions
symfony/polyfill-uuid               1.33.0  Symfony polyfill for uuid functions
symfony/process                     8.0.5   Executes commands in sub-processes
symfony/routing                     8.0.6   Maps an HTTP request to a set of configuration variables
symfony/service-contracts           3.6.1   Generic abstractions related to writing services
symfony/string                      8.0.6   Provides an object-oriented API to strings and deals with bytes, UTF-8 code ...
symfony/translation                 8.0.6   Provides tools to internationalize your application
symfony/translation-contracts       3.6.1   Generic abstractions related to translation
symfony/uid                         8.0.4   Provides an object-oriented API to generate and represent UIDs
